"GISJOIN","ADI_NATRANK","ADI_STATERNK","FIPS"
"G17000100001001","53","5","170010001001"
"G17000100001002","73","7","170010001002"
"G17000100001003","91","9","170010001003"
"G17000100001004","80","8","170010001004"
"G17000100001005","73","7","170010001005"
"G17000100002011","79","8","170010002011"
"G17000100002012","87","9","170010002012"
"G17000100002021","GQ","GQ","170010002021"
"G17000100002022","88","9","170010002022"
"G17000100002023","81","8","170010002023"
"G17000100004001","66","7","170010004001"
"G17000100004002","93","10","170010004002"
"G17000100004003","99","10","170010004003"
"G17000100004004","GQ","GQ","170010004004"
"G17000100005001","89","9","170010005001"
"G17000100005002","94","10","170010005002"
"G17000100006001","73","7","170010006001"
"G17000100006002","70","7","170010006002"
"G17000100006003","76","8","170010006003"
"G17000100006004","73","7","170010006004"
"G17000100006005","39","3","170010006005"
"G17000100007001","85","9","170010007001"
"G17000100007002","90","9","170010007002"
"G17000100008001","99","10","170010008001"
"G17000100008002","100","10","170010008002"
"G17000100008003","98","10","170010008003"
"G17000100009001","90","9","170010009001"
"G17000100009002","83","9","170010009002"
"G17000100010011","79","8","170010010011"
"G17000100010012","86","9","170010010012"
"G17000100010013","74","7","170010010013"
"G17000100010021","82","8","170010010021"
"G17000100010022","65","6","170010010022"
"G17000100011001","69","7","170010011001"
"G17000100011002","60","6","170010011002"
"G17000100011003","50","5","170010011003"
"G17000100011004","36","3","170010011004"
"G17000100101001","82","8","170010101001"
"G17000100101002","79","8","170010101002"
"G17000100101003","71","7","170010101003"
"G17000100101004","64","6","170010101004"
"G17000100102001","77","8","170010102001"
"G17000100102002","71","7","170010102002"
"G17000100102003","79","8","170010102003"
"G17000100102004","91","9","170010102004"
"G17000100103011","45","4","170010103011"
"G17000100103012","44","4","170010103012"
"G17000100103013","55","5","170010103013"
"G17000100103021","55","5","170010103021"
"G17000100103022","78","8","170010103022"
"G17000100103023","79","8","170010103023"
"G17000100104001","45","4","170010104001"
"G17000100104002","62","6","170010104002"
"G17000100104003","60","6","170010104003"
"G17000100105001","48","4","170010105001"
"G17000100105002","31","3","170010105002"
"G17000100106001","45","4","170010106001"
"G17000100106002","40","4","170010106002"
"G17000100106003","68","7","170010106003"
"G17000100106004","51","5","170010106004"
"G17000309576001","93","10","170039576001"
"G17000309576002","81","8","170039576002"
"G17000309576003","96","10","170039576003"
"G17000309577001","86","9","170039577001"
"G17000309577002","92","10","170039577002"
"G17000309578001","100","10","170039578001"
"G17000309578002","99","10","170039578002"
"G17000309579001","100","10","170039579001"
"G17000309579002","100","10","170039579002"
"G17000509512001","52","5","170059512001"
"G17000509512002","44","4","170059512002"
"G17000509512003","93","10","170059512003"
"G17000509513001","79","8","170059513001"
"G17000509513002","76","8","170059513002"
"G17000509513003","GQ","GQ","170059513003"
"G17000509513004","87","9","170059513004"
"G17000509513005","GQ","GQ","170059513005"
"G17000509514001","93","10","170059514001"
"G17000509514002","43","4","170059514002"
"G17000509514003","55","5","170059514003"
"G17000509515001","87","9","170059515001"
"G17000509515002","62","6","170059515002"
"G17000509515003","65","6","170059515003"
"G17000509515004","85","9","170059515004"
"G17000700101011","53","5","170070101011"
"G17000700101012","81","8","170070101012"
"G17000700101021","68","7","170070101021"
"G17000700101022","80","8","170070101022"
"G17000700101023","95","10","170070101023"
"G17000700102001","74","7","170070102001"
"G17000700102002","92","10","170070102002"
"G17000700102003","75","8","170070102003"
"G17000700103001","80","8","170070103001"
"G17000700103002","82","8","170070103002"
"G17000700103003","86","9","170070103003"
"G17000700103004","90","9","170070103004"
"G17000700104001","67","7","170070104001"
"G17000700104002","48","4","170070104002"
"G17000700104003","57","6","170070104003"
"G17000700104004","52","5","170070104004"
"G17000700105011","23","2","170070105011"
"G17000700105012","23","2","170070105012"
"G17000700105021","51","5","170070105021"
"G17000700105022","51","5","170070105022"
"G17000700105023","36","3","170070105023"
"G17000700106011","27","2","170070106011"
"G17000700106012","50","5","170070106012"
"G17000700106013","68","7","170070106013"
"G17000700106031","43","4","170070106031"
"G17000700106032","23","2","170070106032"
"G17000700106033","59","6","170070106033"
"G17000700106034","31","3","170070106034"
"G17000700106041","78","8","170070106041"
"G17000700106042","64","6","170070106042"
