"GISJOIN","ADI_NATRANK","ADI_STATERNK","FIPS"
"G36000100001001","69","9","360010001001"
"G36000100001002","84","10","360010001002"
"G36000100002011","60","8","360010002011"
"G36000100002012","70","9","360010002012"
"G36000100002013","14","4","360010002013"
"G36000100002021","94","10","360010002021"
"G36000100002022","67","9","360010002022"
"G36000100003011","92","10","360010003011"
"G36000100003012","100","10","360010003012"
"G36000100003021","68","9","360010003021"
"G36000100003022","41","7","360010003022"
"G36000100004011","54","8","360010004011"
"G36000100004031","53","8","360010004031"
"G36000100004032","49","8","360010004032"
"G36000100004033","47","7","360010004033"
"G36000100004034","46","7","360010004034"
"G36000100004041","GQ","GQ","360010004041"
"G36000100005011","79","9","360010005011"
"G36000100005012","42","7","360010005012"
"G36000100005013","75","9","360010005013"
"G36000100005014","77","9","360010005014"
"G36000100005021","GQ","GQ","360010005021"
"G36000100005022","54","8","360010005022"
"G36000100006001","100","10","360010006001"
"G36000100006002","92","10","360010006002"
"G36000100006003","95","10","360010006003"
"G36000100007001","84","10","360010007001"
"G36000100007002","96","10","360010007002"
"G36000100007003","92","10","360010007003"
"G36000100007004","91","10","360010007004"
"G36000100008001","88","10","360010008001"
"G36000100008002","89","10","360010008002"
"G36000100008003","82","9","360010008003"
"G36000100011001","53","8","360010011001"
"G36000100014001","41","7","360010014001"
"G36000100014002","74","9","360010014002"
"G36000100014003","55","8","360010014003"
"G36000100014004","69","9","360010014004"
"G36000100015001","68","9","360010015001"
"G36000100015002","73","9","360010015002"
"G36000100015003","61","8","360010015003"
"G36000100015004","49","8","360010015004"
"G36000100016001","65","8","360010016001"
"G36000100016002","65","8","360010016002"
"G36000100016003","52","8","360010016003"
"G36000100016004","47","7","360010016004"
"G36000100017001","33","7","360010017001"
"G36000100017002","56","8","360010017002"
"G36000100017003","49","8","360010017003"
"G36000100018021","58","8","360010018021"
"G36000100018022","59","8","360010018022"
"G36000100018023","56","8","360010018023"
"G36000100018031","39","7","360010018031"
"G36000100018032","34","7","360010018032"
"G36000100018033","38","7","360010018033"
"G36000100018041","47","7","360010018041"
"G36000100018042","39","7","360010018042"
"G36000100018043","49","8","360010018043"
"G36000100019011","44","7","360010019011"
"G36000100019012","55","8","360010019012"
"G36000100019021","47","7","360010019021"
"G36000100019022","46","7","360010019022"
"G36000100019023","59","8","360010019023"
"G36000100020001","79","9","360010020001"
"G36000100020002","78","9","360010020002"
"G36000100020003","82","9","360010020003"
"G36000100020004","53","8","360010020004"
"G36000100020005","67","9","360010020005"
"G36000100021001","76","9","360010021001"
"G36000100021002","GQ","GQ","360010021002"
"G36000100021003","64","8","360010021003"
"G36000100022001","48","7","360010022001"
"G36000100022002","80","9","360010022002"
"G36000100023001","95","10","360010023001"
"G36000100023002","55","8","360010023002"
"G36000100025001","82","9","360010025001"
"G36000100025002","76","9","360010025002"
"G36000100025003","71","9","360010025003"
"G36000100025004","75","9","360010025004"
"G36000100026001","87","10","360010026001"
"G36000100026002","77","9","360010026002"
"G36000100026003","74","9","360010026003"
"G36000100026004","76","9","360010026004"
"G36000100127001","66","8","360010127001"
"G36000100127002","67","9","360010127002"
"G36000100127003","63","8","360010127003"
"G36000100128001","90","10","360010128001"
"G36000100128002","83","10","360010128002"
"G36000100128003","87","10","360010128003"
"G36000100128004","81","9","360010128004"
"G36000100129001","59","8","360010129001"
"G36000100129002","73","9","360010129002"
"G36000100129003","74","9","360010129003"
"G36000100129004","71","9","360010129004"
"G36000100130001","49","8","360010130001"
"G36000100130002","60","8","360010130002"
"G36000100130003","53","8","360010130003"
"G36000100130004","46","7","360010130004"
"G36000100130005","64","8","360010130005"
"G36000100131001","60","8","360010131001"
"G36000100131002","83","10","360010131002"
"G36000100131003","68","9","360010131003"
"G36000100132001","74","9","360010132001"
"G36000100132002","80","9","360010132002"
"G36000100132003","77","9","360010132003"
"G36000100133001","62","8","360010133001"
"G36000100133002","69","9","360010133002"
"G36000100133003","70","9","360010133003"
"G36000100134001","61","8","360010134001"
"G36000100134002","62","8","360010134002"
"G36000100134003","80","9","360010134003"
"G36000100135031","32","7","360010135031"
"G36000100135032","29","6","360010135032"
"G36000100135033","40","7","360010135033"
"G36000100135051","43","7","360010135051"
"G36000100135052","42","7","360010135052"
"G36000100135071","36","7","360010135071"
"G36000100135072","36","7","360010135072"
"G36000100135091","63","8","360010135091"
"G36000100135092","34","7","360010135092"
"G36000100135101","43","7","360010135101"
"G36000100135102","39","7","360010135102"
"G36000100135111","23","6","360010135111"
"G36000100135112","25","6","360010135112"
"G36000100135121","41","7","360010135121"
"G36000100135122","23","6","360010135122"
"G36000100136021","63","8","360010136021"
"G36000100136022","16","4","360010136022"
"G36000100136023","53","8","360010136023"
"G36000100136031","18","5","360010136031"
"G36000100136032","65","8","360010136032"
"G36000100136041","32","7","360010136041"
"G36000100136042","GQ","GQ","360010136042"
"G36000100136043","57","8","360010136043"
"G36000100137031","36","7","360010137031"
"G36000100137061","20","5","360010137061"
"G36000100137071","24","6","360010137071"
"G36000100137072","41","7","360010137072"
"G36000100137073","31","6","360010137073"
"G36000100137074","45","7","360010137074"
"G36000100137081","42","7","360010137081"
"G36000100137082","31","6","360010137082"
"G36000100137091","29","6","360010137091"
"G36000100137092","43","7","360010137092"
"G36000100138021","26","6","360010138021"
"G36000100138022","25","6","360010138022"
"G36000100138023","40","7","360010138023"
"G36000100138031","59","8","360010138031"
"G36000100138032","60","8","360010138032"
"G36000100138033","46","7","360010138033"
"G36000100138041","49","8","360010138041"
"G36000100138042","49","8","360010138042"
"G36000100138043","66","8","360010138043"
"G36000100138044","48","7","360010138044"
"G36000100139011","53","8","360010139011"
"G36000100139012","41","7","360010139012"
"G36000100139021","44","7","360010139021"
"G36000100139022","39","7","360010139022"
"G36000100139023","34","7","360010139023"
"G36000100139024","34","7","360010139024"
"G36000100140011","70","9","360010140011"
"G36000100140012","47","7","360010140012"
"G36000100140013","49","8","360010140013"
"G36000100140014","54","8","360010140014"
"G36000100140021","57","8","360010140021"
"G36000100140022","48","7","360010140022"
"G36000100140023","37","7","360010140023"
"G36000100140024","62","8","360010140024"
"G36000100141001","26","6","360010141001"
"G36000100141002","57","8","360010141002"
"G36000100141003","33","7","360010141003"
