"","condition","means","ID","trial","artifactFlag","bindescr"
"1","Acc_Acc",-8.99508,1000,1,0,"AA (Acc-Acc)"
"2","Rej_Rej",-16.0112,1000,2,0,"RR (Rej-Rej)"
"3","Rej_Rej",17.1522,1000,3,0,"RR (Rej-Rej)"
"4","Acc_Acc",-10.1701,1000,4,0,"AA (Acc-Acc)"
"5","Acc_Rej",3.02247,1000,5,0,"AR (Acc-Rej)"
"6","Rej_Rej",30.4011,1000,6,0,"RR (Rej-Rej)"
"7","Acc_Acc",-2.95762,1000,7,0,"AA (Acc-Acc)"
"8","Acc_Rej",1.89312,1000,8,0,"AR (Acc-Rej)"
"9","Rej_Rej",5.74873,1000,9,0,"RR (Rej-Rej)"
"10","Acc_Acc",15.5303,1000,10,0,"AA (Acc-Acc)"
"11","Acc_Rej",10.096,1000,11,0,"AR (Acc-Rej)"
"12","Acc_Acc",29.1986,1000,12,0,"AA (Acc-Acc)"
"13","Rej_Rej",14.1503,1000,13,0,"RR (Rej-Rej)"
"14","Rej_Acc",-9.43371,1000,14,0,"RA (Rej-Acc)"
"15","Acc_Rej",15.7025,1000,15,0,"AR (Acc-Rej)"
"16","Rej_Rej",-20.2431,1000,17,0,"AA (Acc-Acc)"
"17","Acc_Rej",-0.554989,1000,18,0,"RR (Rej-Rej)"
"18","Rej_Acc",-4.28572,1000,19,0,"AR (Acc-Rej)"
"19","Rej_Acc",23.381,1000,20,0,"RA (Rej-Acc)"
"20","Acc_Rej",8.29831,1000,21,0,"RA (Rej-Acc)"
"21","Rej_Acc",4.64656,1000,22,0,"AR (Acc-Rej)"
"22","Rej_Rej",10.7747,1000,23,0,"RA (Rej-Acc)"
"23","Acc_Acc",-14.7219,1000,24,0,"RR (Rej-Rej)"
"24","Rej_Acc",-14.1647,1000,25,0,"AA (Acc-Acc)"
"25","Acc_Acc",22.9835,1000,26,0,"RA (Rej-Acc)"
"26","Rej_Acc",-9.73659,1000,28,0,"AA (Acc-Acc)"
"27","Rej_Rej",-3.63843,1000,29,0,"RR (Rej-Rej)"
"28","Rej_Rej",8.37117,1000,30,0,"RA (Rej-Acc)"
"29","Rej_Rej",-7.15122,1000,31,0,"RR (Rej-Rej)"
"30","Rej_Acc",2.11927,1000,33,0,"RR (Rej-Rej)"
"31","Acc_Acc",2.50003,1000,34,0,"RR (Rej-Rej)"
"32","Acc_Acc",-5.71251,1000,35,0,"RA (Rej-Acc)"
"33","Rej_Acc",3.87206,1000,36,0,"RA (Rej-Acc)"
"34","Acc_Rej",-0.614801,1000,38,0,"AA (Acc-Acc)"
"35","Acc_Acc",-10.672,1000,39,0,"AA (Acc-Acc)"
"36","Rej_Acc",-15.4141,1000,40,0,"RA (Rej-Acc)"
"37","Rej_Acc",4.78838,1000,41,0,"AR (Acc-Rej)"
"38","Rej_Rej",-2.92393,1000,42,0,"AR (Acc-Rej)"
"39","Acc_Rej",2.11534,1000,43,0,"AA (Acc-Acc)"
"40","Acc_Acc",-1.54329,1000,44,0,"RA (Rej-Acc)"
"41","Rej_Rej",-5.96882,1000,46,0,"RA (Rej-Acc)"
"42","Acc_Acc",16.3731,1000,47,0,"RR (Rej-Rej)"
"43","Acc_Acc",19.0085,1000,48,0,"AR (Acc-Rej)"
"44","Rej_Rej",-2.6401,1000,49,0,"AA (Acc-Acc)"
