"","addi_total ","addi_educ ","addi_instit ","addi_distress ","bcs_total_vic ","bcs_physical_vic_01 ","bcs_verbal_vic ","bcs_rel_vic ","bcs_cyber_vic ","promis_peer_tscore ","promis_fam_tscore "
"addi_total","","","","","","","","","","",""
"addi_educ"," 0.853","","","","","","","","","",""
"addi_instit"," 0.817"," 0.599","","","","","","","","",""
"addi_distress"," 0.848"," 0.592"," 0.517","","","","","","","",""
"bcs_total_vic"," 0.017"," 0.023","-0.028"," 0.039","","","","","","",""
"bcs_physical_vic_01"," 0.037","-0.040"," 0.095"," 0.043"," 0.480","","","","","",""
"bcs_verbal_vic","-0.011","-0.020"," 0.006","-0.019"," 0.732"," 0.497","","","","",""
"bcs_rel_vic"," 0.023"," 0.035"," 0.001"," 0.030"," 0.695"," 0.471"," 0.630","","","",""
"bcs_cyber_vic"," 0.058"," 0.064","-0.001"," 0.094"," 0.725"," 0.349"," 0.449"," 0.481","","",""
"promis_peer_tscore","-0.035","-0.025","-0.053","-0.024","-0.213","-0.052","-0.107","-0.160","-0.256","",""
"promis_fam_tscore","-0.022","-0.027","-0.019","-0.012","-0.257","-0.072","-0.140","-0.110","-0.234"," 0.472",""
